Product,Brand,Price,SaleDate,Quantity,Region,RAM,ROM,Year,Month,Day,Revenue,Prev_Quantity,Growth_Rate_%,Trend
Laptop,Acer,57634.0,2023-03-29,2,East,4GB,256GB,2023,3,29,115268.0,0,200.0,Forte Hausse
Laptop,Acer,146390.0,2023-03-31,3,West,16GB,128GB,2023,3,31,439170.0,2,50.0,Forte Hausse
Mobile Phone,Acer,138855.0,2023-04-03,10,West,32GB,64GB,2023,4,3,1388550.0,3,233.33,Forte Hausse
Mobile Phone,Acer,61656.0,2023-04-05,6,North,8GB,512GB,2023,4,5,369936.0,10,-40.0,Baisse
Laptop,Acer,112914.0,2023-04-06,3,South,12GB,1TB,2023,4,6,338742.0,6,-50.0,Baisse
Laptop,Acer,36183.0,2023-04-10,5,South,4GB,512GB,2023,4,10,180915.0,3,66.67,Forte Hausse
Mobile Phone,Acer,153044.0,2023-04-11,3,Central,16GB,1TB,2023,4,11,459132.0,5,-40.0,Baisse
Mobile Phone,Acer,43647.0,2023-04-12,8,North,4GB,512GB,2023,4,12,349176.0,3,166.67,Forte Hausse
Laptop,Acer,10494.0,2023-04-14,2,West,8GB,256GB,2023,4,14,20988.0,8,-75.0,Baisse
Laptop,Acer,113793.0,2023-04-18,7,South,8GB,1TB,2023,4,18,796551.0,2,250.0,Forte Hausse
Mobile Phone,Acer,103198.0,2023-04-19,7,East,12GB,1TB,2023,4,19,722386.0,7,0.0,Stable
Mobile Phone,Acer,34803.0,2023-04-21,6,South,16GB,512GB,2023,4,21,208818.0,7,-14.29,Baisse
Mobile Phone,Acer,150005.0,2023-04-22,1,Central,16GB,512GB,2023,4,22,150005.0,6,-83.33,Baisse
Mobile Phone,Acer,68432.0,2023-04-22,4,West,32GB,256GB,2023,4,22,273728.0,1,300.0,Forte Hausse
Mobile Phone,Acer,132900.0,2023-04-24,6,West,16GB,1TB,2023,4,24,797400.0,4,50.0,Forte Hausse
Laptop,Acer,49310.0,2023-04-25,10,Central,16GB,128GB,2023,4,25,493100.0,6,66.67,Forte Hausse
Mobile Phone,Acer,136668.0,2023-04-25,2,Central,32GB,128GB,2023,4,25,273336.0,10,-80.0,Baisse
Mobile Phone,Acer,137794.0,2023-04-27,1,East,4GB,256GB,2023,4,27,137794.0,2,-50.0,Baisse
